# career peaks → stream · product encoder (Heptagram::from_jd, noon-UTC whole JD)
# context=kind · inputs=7 natal diagonal polarities sign(d_i − 1/7) · outcomes=[age<50, peak in Apr–Sep]
award	1 1 0 1 1 0 0	1 1
position	0 0 1 1 1 0 0	1 1
award	0 0 1 0 0 0 1	1 1
award	0 0 1 1 1 0 0	1 0
position	0 0 0 1 0 0 1	0 0
award	0 1 0 0 0 1 0	0 0
award	0 1 0 0 0 1 0	0 0
position	0 0 1 1 1 0 0	1 0
award	0 0 0 1 1 1 0	0 0
position	0 0 1 0 0 1 1	1 0
award	0 1 0 0 1 1 0	1 0
position	1 0 1 0 0 1 1	0 0
award	0 0 0 1 1 1 1	0 0
award	0 0 1 0 1 1 0	1 0
award	0 0 0 0 1 1 0	1 0
position	1 1 0 0 0 0 1	1 0
position	1 0 1 0 0 0 1	1 0
position	1 0 1 1 0 0 0	0 0
award	1 0 1 0 0 0 1	1 0
position	1 0 0 0 1 1 0	1 0
position	1 0 0 0 1 1 1	0 0
position	1 0 0 0 1 1 1	0 0
position	1 0 0 1 0 0 1	1 0
award	1 0 0 0 0 1 1	0 0
position	0 1 1 0 1 0 0	1 0
position	1 0 0 1 0 0 1	1 0
position	1 1 0 0 1 0 0	0 0
position	0 0 0 1 1 1 0	0 0
award	0 0 1 1 0 0 1	0 0
award	0 0 1 1 0 0 1	0 0
award	0 0 1 1 0 0 1	0 0
award	1 1 1 0 1 0 1	0 0
award	1 1 1 0 1 0 1	0 0
position	0 0 1 1 0 1 1	0 0
position	0 1 0 0 0 1 1	1 0
position	0 1 1 1 0 1 1	0 0
position	1 0 1 0 1 0 0	1 0
position	0 0 1 0 0 0 1	1 0
award	0 0 1 0 0 0 1	1 0
award	0 0 1 0 0 0 1	1 0
award	0 0 1 0 0 0 1	1 0
position	0 0 0 1 1 0 0	0 0
position	0 0 0 1 1 0 0	0 0
position	1 0 1 0 0 1 0	0 1
award	0 0 1 0 0 0 1	1 1
position	0 0 1 1 0 0 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 1 0 1 0	0 1
position	1 0 1 1 1 0 0	1 1
position	0 0 1 0 1 1 1	1 1
award	0 0 1 0 0 0 1	1 1
position	1 1 0 0 0 1 1	0 0
award	0 0 1 0 0 0 1	1 0
position	1 0 0 1 1 1 1	0 0
award	1 1 0 0 0 1 0	1 0
position	1 1 0 0 0 0 1	0 0
position	0 0 1 0 0 1 1	0 0
position	1 0 1 0 0 1 0	0 0
award	0 1 0 0 0 1 0	0 0
award	0 1 0 0 0 1 0	0 0
award	1 1 0 0 1 1 0	0 0
award	0 1 0 1 0 0 0	1 0
award	0 0 1 0 1 0 0	1 0
position	0 1 1 1 0 0 0	1 0
position	0 0 1 0 1 1 1	1 0
position	0 0 1 0 1 1 1	1 0
position	0 1 0 0 0 1 1	0 0
position	1 1 1 0 0 1 0	1 0
position	1 0 1 1 0 1 0	0 0
award	0 0 1 1 1 0 0	1 0
position	0 0 0 1 1 1 0	0 0
position	1 0 0 0 1 1 0	1 0
award	0 1 0 0 0 1 0	1 0
award	0 1 0 0 0 1 1	1 0
award	1 0 0 0 0 1 1	0 0
award	0 1 1 0 0 1 0	0 0
position	0 1 1 0 1 1 0	1 0
position	0 1 1 0 1 1 0	1 0
position	0 1 0 1 1 0 1	0 0
award	0 0 0 0 1 1 1	0 0
position	1 1 0 0 1 0 0	1 0
position	0 0 1 0 1 0 1	1 0
award	0 0 0 1 1 0 0	1 0
position	0 0 1 1 1 0 1	1 0
position	0 0 1 1 0 1 0	1 0
position	1 0 0 1 0 1 0	1 0
position	1 1 1 0 1 0 1	0 0
position	0 0 1 0 0 1 1	0 0
award	0 0 1 0 0 1 1	0 0
award	0 0 0 1 1 1 1	1 0
position	1 1 0 0 0 1 1	0 0
award	0 1 0 0 1 0 1	0 0
position	1 0 1 0 0 0 0	1 0
award	0 0 1 0 0 0 1	1 1
position	0 0 0 1 0 0 1	0 1
position	0 0 0 1 0 1 0	1 1
position	0 1 1 1 0 0 0	1 1
award	0 0 1 1 1 0 0	1 1
award	1 1 0 1 0 0 1	1 1
position	1 0 1 0 0 1 0	0 1
position	0 0 1 0 0 1 1	0 1
award	0 0 1 0 0 0 1	1 1
award	0 0 1 0 0 0 1	1 1
position	0 1 1 0 1 1 0	1 1
award	1 0 0 0 0 1 1	0 0
award	0 0 0 1 0 1 0	1 0
award	0 0 1 1 0 0 1	1 0
position	1 1 0 1 0 1 0	1 0
position	1 0 0 0 1 1 1	0 0
position	0 1 1 1 0 0 0	1 0
position	0 0 0 1 1 1 1	1 0
position	1 0 1 0 0 0 0	0 0
position	0 1 0 0 0 1 0	1 0
position	1 1 0 0 0 1 0	1 0
position	0 1 0 1 1 1 0	1 0
position	1 0 1 0 0 0 0	1 0
position	0 0 0 1 1 1 0	0 0
position	0 0 1 0 1 0 0	1 0
position	1 0 0 0 1 1 0	1 0
position	0 0 1 0 1 1 1	0 0
position	0 0 0 1 0 0 1	0 0
position	1 0 1 0 0 1 1	0 0
position	1 0 0 0 1 1 0	1 0
position	0 1 1 1 1 0 1	1 0
position	0 0 0 0 1 1 1	1 0
position	0 1 0 1 1 0 1	0 0
position	0 0 1 0 1 0 0	0 0
award	0 1 0 1 0 0 1	1 0
position	1 1 0 0 0 1 0	1 0
position	0 1 1 1 0 0 0	1 0
position	0 0 1 0 0 1 1	0 0
position	0 0 1 0 0 1 1	0 0
position	0 1 0 0 1 1 1	0 0
award	0 1 0 0 0 1 0	0 0
award	0 1 0 0 0 1 0	0 0
position	0 0 0 1 1 1 0	0 0
award	1 0 0 1 0 1 0	0 0
award	0 1 1 1 1 0 1	1 0
award	0 1 0 1 0 1 0	1 0
award	1 0 0 0 0 1 1	1 0
award	0 1 0 0 0 1 1	1 0
award	1 0 0 0 0 1 1	0 0
award	0 0 1 1 1 0 0	0 0
position	1 1 0 0 0 0 1	1 0
position	1 0 0 1 0 0 0	1 0
award	1 0 0 0 1 1 1	0 0
award	1 0 0 0 1 1 1	0 0
award	1 1 0 0 0 1 0	0 0
award	1 1 0 0 0 0 0	1 0
position	0 1 1 1 1 0 1	1 0
award	0 0 0 1 0 0 1	1 0
position	1 0 1 0 0 1 0	1 0
award	0 0 1 0 1 0 0	0 0
position	0 1 1 1 0 1 0	0 0
position	0 1 0 1 1 0 0	1 0
award	0 1 1 0 0 1 0	1 0
position	0 0 1 1 0 0 1	1 0
position	0 0 1 0 0 0 1	1 0
position	0 0 1 0 0 0 1	1 0
award	0 0 0 1 0 0 1	1 0
position	1 1 0 0 0 0 1	0 0
award	1 0 1 0 1 0 0	1 0
position	0 1 1 1 0 0 0	1 0
position	0 0 0 1 0 0 1	0 0
position	0 0 0 1 0 0 1	0 0
position	0 0 1 0 1 0 0	0 0
position	0 1 0 0 1 1 0	0 0
position	1 0 1 0 1 0 1	0 0
position	1 0 0 1 0 0 1	1 0
position	1 1 0 0 0 1 1	0 1
position	0 0 0 1 0 1 1	0 1
award	0 0 0 1 1 0 1	1 1
award	0 1 1 0 0 1 0	1 1
award	1 0 0 0 0 1 1	0 1
position	0 1 0 1 0 0 0	1 1
award	0 0 1 0 1 0 1	1 1
position	1 1 0 1 0 1 0	1 1
position	1 0 1 0 0 0 0	1 1
position	0 0 0 0 1 0 1	0 1
position	1 0 0 0 1 1 0	1 1
position	0 1 1 1 1 0 1	1 1
position	0 1 0 1 1 0 1	0 1
position	0 0 1 0 1 0 0	0 1
position	0 0 1 0 1 0 0	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
position	1 0 0 1 1 0 0	1 1
position	1 0 1 0 0 1 0	0 1
position	0 1 1 1 0 0 0	1 1
position	0 1 0 1 1 0 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
position	1 0 1 0 0 1 0	1 1
award	1 1 0 0 0 1 0	1 1
position	1 0 0 1 1 0 0	0 0
position	0 0 1 0 0 1 0	1 0
position	0 0 1 0 1 1 0	1 0
position	1 0 0 0 1 1 0	1 0
position	1 1 0 1 0 1 0	1 0
position	0 1 1 1 1 0 1	1 0
position	0 1 0 0 0 1 1	1 0
position	1 1 0 1 1 0 0	1 0
position	1 0 1 0 0 0 0	1 0
position	0 1 0 1 1 0 1	0 0
position	0 0 1 0 1 0 0	0 0
position	0 0 1 0 1 0 0	0 0
position	0 0 1 0 1 1 1	0 0
position	1 0 0 0 1 0 0	1 0
position	0 0 0 1 0 0 1	0 0
award	0 0 1 0 1 0 1	0 0
award	0 0 0 1 1 1 0	1 0
position	1 0 0 0 1 1 1	0 0
award	0 0 0 1 0 1 1	1 0
position	0 0 1 0 1 1 1	0 0
position	0 1 1 1 0 0 0	1 0
position	0 1 0 0 0 1 1	0 0
award	0 0 1 1 0 1 1	0 0
position	1 1 1 0 0 1 0	1 0
award	1 0 1 0 1 0 0	0 0
award	1 0 0 1 0 0 0	1 0
award	1 0 1 1 1 0 0	1 0
award	1 0 1 1 0 0 0	1 0
position	1 0 0 1 1 0 0	0 0
award	0 0 0 1 1 0 1	1 0
award	0 0 1 0 1 0 1	0 0
award	0 0 1 0 1 1 0	1 0
award	0 1 0 0 1 1 0	0 0
award	1 0 0 1 1 1 0	0 0
award	1 0 1 1 1 0 0	1 0
award	0 0 1 0 0 0 1	0 0
award	1 1 0 1 0 0 0	1 0
award	0 0 1 0 0 0 1	1 0
award	0 0 1 0 0 1 0	0 0
award	0 1 1 0 0 1 0	1 0
position	0 0 1 0 1 1 0	1 0
position	0 0 1 0 0 1 1	0 0
award	0 1 0 1 0 1 1	1 0
position	1 1 0 0 0 1 1	1 0
position	1 1 0 0 0 1 1	1 0
award	0 0 1 0 1 1 1	0 0
award	0 0 0 0 1 1 1	0 0
position	1 0 1 0 0 1 0	1 0
award	0 0 1 0 1 0 1	1 0
position	1 0 1 1 0 1 0	1 0
award	0 0 1 1 1 0 0	1 0
position	1 1 0 0 0 0 1	0 0
position	1 0 1 0 1 1 0	0 0
award	1 1 0 0 1 1 0	0 0
position	0 0 1 0 1 0 0	0 0
position	0 0 1 0 1 0 0	0 0
position	1 1 0 1 1 0 0	1 0
position	0 1 0 1 1 0 1	0 0
position	0 0 1 0 0 1 1	0 0
position	0 0 1 0 0 1 1	0 0
position	1 0 1 0 0 1 0	1 0
award	1 0 1 1 1 0 0	1 0
position	1 0 1 0 0 1 1	0 0
award	1 0 1 0 0 0 1	1 0
position	1 1 0 0 0 0 1	0 0
award	1 1 0 1 1 0 0	1 0
award	1 1 1 0 0 1 0	1 0
award	0 0 1 0 0 0 1	1 0
award	1 1 0 0 0 0 1	0 0
award	0 0 1 1 1 0 0	1 1
award	0 1 1 1 0 1 0	0 1
position	1 0 1 0 1 0 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
award	0 0 1 1 1 0 0	0 1
position	0 1 1 1 0 1 0	1 0
position	0 1 0 1 1 0 1	0 0
position	0 0 1 0 1 0 1	1 0
position	0 0 1 0 0 1 1	0 0
position	1 1 1 1 0 0 0	1 0
position	1 0 1 1 0 0 1	1 0
position	1 1 0 1 1 0 0	1 0
position	0 0 0 1 1 1 0	0 0
position	0 1 0 1 1 0 1	0 0
position	0 0 1 0 1 0 1	1 0
award	1 0 1 0 0 0 0	1 0
award	0 1 0 0 0 1 0	0 0
award	0 1 0 0 0 1 0	0 0
award	1 1 0 1 0 0 0	1 0
award	1 1 0 1 0 0 0	1 0
award	0 0 1 1 0 1 0	0 0
position	0 0 1 0 1 0 1	0 0
award	1 1 0 1 1 0 1	1 0
award	0 0 0 1 0 1 1	0 0
award	0 0 0 1 1 0 1	0 0
position	1 1 0 0 0 1 1	0 0
position	0 1 0 0 1 1 0	1 0
award	0 0 1 1 0 0 1	1 0
award	0 0 1 1 1 0 0	1 0
award	0 0 1 1 1 0 0	1 0
award	0 0 0 0 1 1 0	1 0
position	0 0 0 0 1 0 1	1 0
position	1 0 0 0 0 1 1	0 0
award	0 0 0 1 1 0 0	0 0
award	0 0 0 1 1 0 0	0 0
award	1 1 0 0 1 0 0	0 0
award	1 0 0 1 1 1 1	1 0
award	1 0 0 0 0 1 0	0 0
position	1 0 0 1 1 1 1	0 0
award	1 0 0 1 1 1 0	1 0
award	1 1 0 0 0 1 1	0 0
award	0 1 0 1 1 0 0	1 0
award	0 1 1 0 0 1 0	0 0
position	1 1 0 0 1 0 0	1 0
award	1 1 0 0 0 1 0	0 0
position	1 0 0 1 0 0 1	1 0
award	0 1 0 1 1 0 0	1 0
award	1 0 1 0 1 0 1	0 0
position	0 0 1 1 1 1 0	0 0
award	0 0 1 0 0 1 1	0 0
award	1 0 1 0 1 1 1	1 0
position	0 0 1 1 0 0 1	1 0
position	1 0 0 0 1 1 1	0 0
position	0 1 0 0 0 1 1	0 0
award	0 1 0 1 1 1 0	0 0
award	0 0 1 0 0 1 1	0 0
position	1 1 0 1 0 0 0	1 1
position	0 0 1 0 0 1 1	0 1
position	1 0 1 0 0 1 0	0 1
position	0 1 0 0 1 1 0	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
award	0 0 1 0 0 1 1	0 1
award	0 1 0 0 0 1 0	1 1
position	1 1 1 0 0 1 0	0 1
position	0 1 0 1 1 0 1	0 1
position	0 0 1 0 1 0 1	0 1
position	0 1 0 1 1 0 1	0 1
position	0 1 0 1 1 0 1	0 1
position	0 1 0 1 1 0 1	0 1
position	0 0 1 0 1 0 1	0 1
position	0 0 0 1 1 1 0	0 0
position	0 1 1 0 0 1 1	1 0
position	0 0 0 1 1 1 0	0 0
position	1 0 0 0 1 1 1	0 0
position	0 0 1 1 1 0 1	1 0
award	1 0 1 0 0 0 0	1 0
award	0 1 0 0 0 1 0	0 0
award	0 0 0 1 0 1 1	0 0
award	0 0 0 1 1 1 0	1 0
award	0 0 1 1 1 0 0	1 0
position	0 1 1 1 0 0 0	1 0
award	1 0 0 0 0 1 0	1 0
award	1 0 0 1 0 0 1	0 0
award	0 0 0 0 1 1 1	1 0
award	0 0 0 0 1 1 0	0 0
award	0 0 0 1 1 0 1	1 0
award	0 0 1 1 1 0 0	1 0
award	0 0 1 0 1 0 1	0 0
position	0 0 0 1 1 1 1	1 0
award	1 0 0 1 0 1 1	1 0
award	1 0 0 1 0 1 1	1 0
award	0 0 1 0 1 1 0	0 0
position	1 0 0 1 1 1 0	0 0
award	0 0 1 1 0 0 0	1 0
award	0 0 1 1 0 0 1	1 0
position	1 0 1 0 0 0 1	0 0
position	1 0 1 0 0 0 1	0 0
award	1 0 1 1 1 0 0	1 0
position	1 0 0 1 1 0 1	1 0
position	0 1 0 1 1 1 0	1 0
award	0 0 0 0 1 1 1	0 0
award	0 0 1 1 1 0 1	1 0
award	0 0 1 1 1 0 1	0 0
award	0 0 0 1 1 0 0	1 0
award	0 0 1 1 0 0 1	0 0
award	1 0 1 0 1 1 0	0 0
award	0 0 1 0 0 1 1	0 0
award	0 1 1 1 1 0 0	1 0
award	0 1 1 1 1 0 0	1 0
award	0 1 0 1 0 1 0	1 0
award	1 0 0 1 1 0 0	1 0
award	0 0 1 0 1 0 1	0 0
award	1 0 1 0 1 0 0	0 1
award	0 1 0 1 1 0 1	0 1
award	0 0 1 0 1 0 1	0 1
position	0 0 0 0 1 1 0	1 1
position	1 1 1 0 0 1 0	0 1
position	0 0 0 1 1 0 1	1 1
position	0 1 1 1 0 0 0	1 1
position	0 0 0 1 1 1 0	0 1
position	1 1 0 0 0 1 1	1 1
position	0 0 1 1 0 0 0	1 1
position	0 0 1 1 1 0 0	1 1
position	0 1 1 0 1 0 1	0 1
position	1 0 1 0 1 0 1	0 1
position	0 1 1 0 1 1 0	0 1
position	1 0 1 0 1 0 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 1 0 1 1 0 1	0 0
award	1 0 1 0 1 0 1	0 0
position	0 0 1 0 0 0 1	0 0
award	0 1 1 0 1 0 1	1 0
award	0 0 0 1 1 1 0	1 0
award	0 1 0 1 0 0 1	1 0
award	0 0 0 1 0 1 1	1 0
position	1 0 1 1 0 0 1	1 0
award	0 0 1 0 1 0 0	0 0
position	0 1 1 0 1 0 0	0 0
award	0 1 1 0 1 0 0	0 0
award	1 0 0 0 1 1 0	1 0
award	1 0 0 0 1 1 1	0 0
award	0 0 0 1 1 0 1	0 0
award	1 0 0 1 1 0 0	0 0
position	0 1 1 0 0 0 0	1 0
award	0 0 1 0 1 1 0	0 0
award	0 0 1 0 1 0 1	0 0
award	1 0 0 1 0 1 1	1 0
award	0 1 0 1 0 1 0	0 0
award	1 0 1 1 0 0 0	0 0
award	0 1 0 0 0 1 1	1 0
award	1 0 0 0 0 1 1	0 0
award	1 0 0 0 0 1 1	0 0
award	1 0 1 1 0 0 0	1 0
award	0 1 1 0 0 0 1	0 0
award	1 0 0 1 0 0 0	1 0
position	1 0 0 1 1 1 1	0 0
award	1 0 1 0 1 0 0	1 0
award	1 0 1 1 0 0 1	1 0
award	0 0 1 0 1 0 0	0 0
award	0 0 0 1 1 0 1	0 0
position	1 0 0 1 1 1 0	0 0
award	0 0 1 0 0 1 1	0 0
award	0 1 0 0 0 1 1	0 0
position	1 0 0 0 1 1 1	0 0
position	0 0 1 0 0 1 1	0 0
position	0 0 1 0 0 1 1	0 0
award	0 0 0 1 1 0 0	1 0
position	0 1 0 1 1 0 1	0 0
award	0 0 0 1 1 0 0	0 1
award	0 1 1 1 0 0 0	1 1
award	0 0 0 1 1 1 0	1 1
award	0 0 1 1 0 1 0	0 1
award	0 0 1 0 1 0 0	0 1
position	0 1 0 1 1 0 1	0 1
position	1 1 0 1 1 0 0	1 1
position	0 1 0 1 1 0 1	0 1
award	1 0 1 1 0 0 0	1 1
position	0 0 1 1 1 0 0	1 1
position	0 1 1 0 1 0 1	0 1
award	1 0 0 0 0 1 0	0 0
award	0 1 0 1 0 1 0	1 0
position	1 1 1 1 0 0 0	1 0
position	1 1 0 0 1 0 0	1 0
award	1 1 0 0 0 1 0	1 0
award	0 1 0 1 0 1 1	1 0
award	0 0 0 0 1 0 1	1 0
award	0 0 1 0 0 1 1	0 0
award	1 0 0 0 1 1 0	0 0
position	0 1 0 0 1 0 0	1 0
award	1 0 0 0 0 1 1	0 0
position	0 0 1 0 1 1 1	0 0
position	1 0 0 0 0 1 1	0 0
position	1 0 1 0 0 0 0	1 0
position	0 0 1 0 0 1 1	0 0
award	1 0 0 0 0 0 1	1 0
position	0 0 0 1 1 0 1	0 0
award	0 0 1 1 0 0 0	0 0
award	1 0 0 1 0 1 0	0 0
award	0 0 0 1 0 1 1	1 0
award	1 0 0 0 0 1 1	0 0
award	0 1 1 0 0 1 0	0 0
award	0 0 0 1 1 0 0	0 0
award	0 1 0 1 0 1 0	1 0
award	0 1 0 1 0 0 0	1 0
award	1 0 0 0 0 1 1	0 0
award	1 1 0 0 1 0 0	0 0
position	0 0 1 1 1 0 0	0 0
award	0 1 0 1 0 0 0	1 0
award	0 0 1 0 1 0 0	0 0
award	0 0 0 1 0 1 1	1 0
award	1 1 0 0 0 1 1	0 0
award	0 0 1 1 1 0 0	0 0
award	0 0 1 0 0 1 0	0 0
award	0 0 1 0 0 1 0	0 0
award	0 0 1 0 0 0 1	0 0
position	1 0 1 1 0 1 1	0 0
award	1 1 0 0 0 1 1	1 0
award	0 1 0 1 1 0 1	1 0
position	0 0 1 1 0 0 0	1 0
award	1 0 0 0 0 1 0	0 0
award	1 1 0 1 0 1 0	1 0
position	1 1 0 1 1 0 0	1 0
position	0 1 0 1 1 0 1	0 0
position	0 0 1 1 1 0 0	0 1
position	0 1 1 1 0 0 0	1 1
position	0 0 0 0 1 1 0	1 1
position	0 0 0 1 1 0 1	1 1
position	1 1 1 0 0 1 0	1 1
position	0 0 0 1 1 1 0	1 1
position	0 0 0 1 1 0 0	1 1
position	0 0 1 0 1 1 0	0 1
position	0 1 0 1 0 0 1	1 1
position	0 1 0 1 0 1 0	0 1
position	0 0 1 1 1 1 0	0 1
position	0 0 0 1 1 0 1	1 1
position	0 0 1 0 1 1 1	0 1
position	1 0 1 0 1 0 0	0 1
position	0 0 0 0 1 1 1	0 1
position	1 0 1 1 1 0 0	1 1
award	0 0 1 1 0 1 0	0 1
position	1 0 0 0 1 1 0	1 1
position	1 1 0 1 0 1 0	1 1
position	0 1 1 1 1 0 1	1 1
position	0 1 0 0 0 1 1	1 1
position	1 1 0 1 1 0 0	1 1
position	1 0 1 0 0 0 0	1 1
position	1 0 1 0 0 0 1	0 1
position	0 1 0 1 0 0 1	1 1
position	0 1 0 1 1 0 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
position	0 0 0 1 1 1 0	0 1
position	0 1 0 1 1 0 1	0 1
position	0 0 0 0 1 1 0	0 0
position	1 0 1 0 0 0 1	0 0
position	0 0 0 1 0 1 0	0 0
position	0 0 1 0 1 0 1	1 0
position	0 1 0 1 1 1 0	1 0
award	0 1 0 1 1 0 1	0 0
award	1 1 0 0 0 1 0	1 0
award	0 0 0 1 1 1 0	0 0
position	0 0 1 0 0 1 1	1 0
award	0 1 0 0 1 1 0	1 0
award	0 1 0 0 1 1 1	1 0
award	1 0 1 0 1 0 1	0 0
position	1 0 1 0 1 0 1	0 0
award	0 0 1 1 0 1 1	0 0
position	1 0 0 1 0 1 0	0 0
award	1 0 1 1 0 1 0	0 0
award	0 1 1 1 0 0 0	1 0
award	0 0 0 1 0 1 1	0 0
position	0 0 0 1 1 1 0	0 0
award	0 0 1 1 1 0 0	1 0
award	0 1 0 1 0 1 1	0 0
award	1 0 0 1 1 0 0	0 0
award	1 0 0 1 1 0 0	0 0
position	1 0 0 0 0 1 1	0 0
award	0 0 1 0 1 1 1	0 0
award	0 0 1 0 1 1 0	0 0
position	0 0 0 0 1 1 0	0 0
award	0 0 1 0 1 1 0	0 0
award	0 0 1 0 1 1 0	0 0
award	1 1 1 0 0 1 0	0 0
award	0 0 0 0 1 1 1	0 0
award	0 0 0 1 1 0 0	0 0
position	0 1 0 1 0 1 0	0 0
award	1 1 0 1 0 0 0	1 0
award	0 1 1 1 0 0 1	0 0
award	0 1 0 1 1 0 1	0 0
position	1 1 0 0 1 0 0	1 0
award	0 1 0 0 0 1 0	0 0
award	0 1 1 1 0 0 0	1 0
award	0 0 1 1 0 0 1	0 0
award	0 0 0 1 1 1 1	0 0
award	0 1 0 0 1 1 1	1 0
award	1 0 1 1 0 0 1	0 0
award	0 0 0 1 0 1 1	1 0
position	0 0 1 1 1 1 0	0 0
award	1 0 0 1 1 0 1	1 0
award	0 0 1 0 1 0 1	1 0
position	0 1 0 1 1 0 1	0 0
position	0 1 0 1 1 0 1	0 0
position	0 0 0 1 1 1 0	0 0
award	0 0 0 1 0 0 0	1 0
position	0 0 1 0 0 1 1	0 1
position	0 1 1 1 0 1 1	0 1
award	0 0 1 0 0 1 1	0 1
award	0 1 0 0 1 0 1	0 1
position	0 0 1 1 1 0 0	0 1
award	0 0 0 1 1 1 1	0 0
position	1 1 1 0 0 1 0	1 0
position	1 1 1 0 0 1 0	1 0
award	0 0 0 1 1 1 0	0 0
award	0 0 0 1 1 1 0	0 0
award	0 0 1 0 1 0 0	0 0
position	0 0 1 0 0 1 1	0 0
award	1 0 0 0 0 1 0	0 0
award	0 1 0 0 1 1 1	1 0
award	0 0 1 1 0 0 1	0 0
position	0 0 0 1 0 0 0	1 0
position	0 0 0 1 1 1 0	0 0
award	1 0 0 0 1 1 0	1 0
position	0 1 0 0 0 1 1	1 0
position	0 0 0 1 1 0 0	1 0
award	1 0 0 0 1 1 0	0 0
award	0 1 0 1 0 1 0	0 0
award	0 1 0 1 0 1 0	0 0
award	0 0 1 0 1 1 0	0 0
award	0 0 0 1 1 0 1	0 0
position	1 1 0 0 0 1 0	1 0
award	1 0 1 0 1 0 0	1 0
award	1 1 0 0 0 1 0	1 0
award	1 1 0 0 1 0 1	0 0
award	0 1 0 1 0 0 1	1 0
award	1 1 0 1 1 0 0	1 0
position	1 0 0 1 0 0 0	1 0
award	0 1 1 1 0 0 1	0 0
position	0 1 1 0 0 0 0	1 0
position	1 1 0 0 0 1 0	1 0
award	0 0 0 1 0 1 1	0 0
award	0 0 0 0 0 1 1	0 0
award	0 0 0 0 1 1 1	0 0
award	0 0 1 0 1 0 0	0 0
award	0 0 1 1 0 0 1	0 0
award	1 0 1 0 1 0 1	0 0
position	1 0 0 1 1 1 0	0 0
award	0 1 1 0 1 1 0	0 0
award	0 1 0 1 1 0 1	1 0
position	0 0 1 1 0 0 1	1 0
award	1 0 0 1 0 0 0	1 0
award	0 1 0 0 1 1 0	0 0
position	1 0 1 1 0 0 1	1 0
position	0 0 0 1 1 1 0	0 0
position	1 0 0 1 1 1 0	0 0
position	1 1 0 0 0 1 0	0 0
position	0 0 0 1 0 1 1	1 0
position	0 0 0 1 1 1 0	0 1
position	0 0 1 1 0 0 1	1 1
position	1 0 1 1 1 0 0	1 1
award	0 0 0 0 0 1 1	1 1
position	1 0 1 0 0 1 0	0 1
position	1 0 0 1 1 0 0	1 1
position	1 1 0 1 0 0 0	1 1
position	0 0 1 0 0 1 1	0 1
position	1 0 1 0 0 1 0	0 1
position	1 1 0 1 1 0 0	1 1
position	0 0 0 1 1 1 0	0 1
position	1 0 0 0 1 0 0	1 1
position	1 0 0 0 1 0 0	1 1
position	0 0 1 0 0 1 1	0 1
position	0 0 1 0 0 1 1	0 1
award	1 0 1 0 1 0 0	0 1
position	0 0 1 1 0 0 0	1 0
position	0 0 1 1 1 0 0	0 0
position	0 1 1 0 1 0 1	0 0
position	1 0 1 0 1 0 1	0 0
position	0 1 1 0 1 1 0	0 0
award	1 0 0 1 1 0 0	1 0
award	0 1 0 0 0 1 0	0 0
award	0 0 1 0 0 1 0	0 0
award	0 0 1 0 0 1 1	0 0
award	0 0 0 1 1 1 0	0 0
position	0 0 1 1 0 0 0	1 0
award	1 1 0 0 0 1 0	1 0
award	0 1 0 0 1 1 1	1 0
award	1 1 1 1 0 1 0	1 0
award	1 1 1 1 0 1 0	1 0
position	0 0 1 0 0 1 1	0 0
award	0 0 0 0 1 1 1	0 0
award	1 0 0 0 1 1 0	1 0
award	1 0 0 0 1 1 0	1 0
award	1 0 0 1 0 1 0	0 0
award	1 0 1 1 0 0 1	1 0
award	0 1 1 1 0 0 0	1 0
position	0 1 1 1 1 0 0	1 0
award	0 0 1 1 0 0 0	1 0
award	0 0 0 1 1 1 1	0 0
award	0 0 0 1 1 0 1	0 0
award	0 1 0 0 1 1 0	0 0
award	0 1 0 0 1 1 1	0 0
award	1 1 0 0 0 1 0	0 0
award	0 0 0 1 0 1 1	1 0
award	1 0 0 0 0 1 1	1 0
award	0 1 0 1 0 1 0	1 0
award	1 1 0 0 0 1 0	0 0
position	1 0 0 0 1 1 1	0 0
award	1 1 0 0 0 1 1	0 0
position	1 1 0 0 1 1 0	0 0
award	1 1 0 1 0 0 0	1 0
award	1 0 1 1 0 0 1	0 0
award	1 0 1 0 1 0 0	0 0
award	0 0 0 1 1 0 1	1 0
award	1 0 1 1 0 0 1	0 0
award	0 1 1 1 0 0 0	1 0
award	0 0 1 1 0 0 1	0 0
award	0 0 1 1 0 0 1	0 0
position	0 1 0 1 0 0 1	0 0
position	1 0 0 1 0 1 0	1 0
award	1 0 1 1 0 0 1	0 0
award	1 0 1 1 1 0 1	0 0
position	1 0 1 0 0 1 0	0 0
position	1 1 0 0 0 0 1	0 0
award	1 0 1 0 1 0 0	0 0
position	0 0 0 1 1 1 0	0 0
position	0 0 0 1 1 1 0	0 0
award	0 0 0 1 1 1 0	0 0
award	0 0 1 0 0 1 1	0 0
